# Start at 2020-03-10 10:20:36.008281
# EA  EB  tA  tB
# 
46.205 0.000 104.526 9.586
46.206 2.946 104.543 154.000
94.161 0.757 112.915 33.039
143.542 32.040 115.547 114.598
58.276 0.000 109.886 9.586
27.775 0.000 79.145 9.586
83.746 1.036 113.264 20.040
70.509 2.029 110.425 12.083
140.032 208.266 113.875 115.123
113.503 57.644 113.859 105.014
143.207 1.562 114.764 39.110
127.369 213.016 114.858 114.663
139.600 132.494 114.983 114.772
36.289 2.423 97.781 331.321
139.508 206.248 115.676 115.345
133.932 215.855 115.120 115.663
49.481 0.000 105.200 9.586
52.561 1.503 109.312 25.052
45.965 0.744 102.162 28.015
70.973 87.761 110.232 109.671
70.097 0.000 111.308 9.586
86.912 0.000 113.494 9.586
61.873 1.745 109.223 30.017
88.460 1.471 112.581 23.047
46.610 0.793 107.310 14.028
57.228 0.252 109.187 354.000
320.818 0.000 117.511 0.000
49.575 0.000 106.047 9.586
25.282 3.100 98.408 23.015
96.538 0.261 113.593 36.000
36.292 0.000 96.772 0.000
137.698 219.680 115.044 115.409
136.995 220.733 114.658 115.817
51.956 2.428 106.786 70.000
158.458 1.477 115.807 18.117
139.603 37.266 114.973 114.558
141.668 1.520 115.684 13.144
134.862 0.000 114.502 0.000
139.346 64.170 114.345 113.999
134.815 0.520 114.456 213.000
33.207 0.252 101.616 306.000
97.321 0.000 115.678 0.000
87.886 0.511 111.552 122.000
148.362 2.242 115.065 22.125
200.695 1.976 115.950 10.378
82.068 1.838 111.883 20.179
85.732 133.145 111.529 111.402
61.009 5.720 109.420 403.113
137.146 0.000 115.885 0.000
50.147 0.000 107.686 0.000
208.181 0.252 115.736 166.000
82.475 1.768 110.773 8.095
136.386 196.571 113.713 114.573
56.915 0.521 109.203 23.030
76.963 0.252 110.242 453.000
33.602 0.000 97.769 0.000
36.521 0.000 101.590 0.000
235.580 0.000 116.611 0.000
109.836 0.000 113.855 0.000
76.917 0.000 113.101 0.000
236.425 0.252 116.699 455.000
24.684 2.456 58.656 278.550
69.924 0.000 111.482 0.000
36.548 0.252 98.914 347.000
333.421 0.252 118.000 399.000
40.845 0.000 103.500 9.586
53.912 5.915 104.872 403.519
134.137 3.091 114.195 35.680
46.238 0.000 104.525 9.586
60.603 0.000 109.002 0.000
70.678 0.000 110.249 9.586
86.447 1.488 112.434 16.045
72.660 1.749 110.650 9.027
236.808 0.990 116.218 16.327
128.107 66.895 114.001 113.284
68.480 0.258 109.511 243.000
37.946 0.000 101.329 0.000
141.161 122.637 114.227 116.001
43.818 0.000 103.381 0.000
143.940 0.000 113.564 0.000
131.081 0.000 114.693 0.000
137.754 122.401 114.607 115.476
95.468 0.000 112.787 0.000
51.840 0.000 105.849 0.000
62.914 0.000 109.695 0.000
59.097 0.000 109.102 0.000
368.822 0.000 117.194 0.000
297.475 0.000 117.537 0.000
337.493 0.000 116.557 0.000
327.200 0.000 118.726 0.000
27.671 0.252 49.425 228.000
32.969 0.000 105.921 0.000
55.614 119.784 106.656 107.270
39.959 0.000 98.521 0.000
42.662 0.000 103.875 0.000
95.590 0.252 111.975 377.000
55.340 1.893 107.320 13.293
75.178 1.677 110.158 20.933
55.287 4.600 109.381 317.631
182.144 0.498 115.919 36.000
96.869 0.000 112.861 0.000
57.643 0.000 109.273 0.000
334.485 0.000 117.000 0.000
128.801 219.702 114.626 114.999
141.017 126.175 114.667 113.460
70.013 0.252 110.261 299.000
33.587 2.006 90.514 9.114
109.064 1.006 112.965 53.000
140.628 54.587 114.785 113.467
44.192 2.172 104.033 11.111
66.231 0.000 109.832 9.586
388.522 0.000 116.648 9.586
35.295 0.000 90.024 9.586
26.668 0.992 54.573 112.000
113.517 0.000 114.754 0.000
48.171 1.505 105.016 484.000
70.038 0.000 109.866 0.000
51.668 0.000 107.685 0.000
52.655 0.000 107.707 0.000
46.791 0.000 106.123 0.000
27.923 0.000 86.997 0.000
111.351 0.252 114.655 311.000
133.182 202.766 116.132 116.204
272.178 0.760 117.209 25.053
214.467 0.000 116.975 0.000
212.618 1.011 116.953 66.000
58.179 2.072 109.377 8.597
140.677 0.000 115.768 0.000
155.185 0.000 114.715 0.000
54.579 210.239 110.681 112.999
141.950 0.736 115.542 8.015
77.503 2.579 111.877 251.000
58.877 0.502 109.033 126.000
230.687 0.753 115.928 30.000
205.365 0.000 116.423 9.586
91.051 0.252 112.999 78.000
129.183 0.504 113.001 113.000
61.120 0.252 106.298 68.000
51.834 0.000 106.709 9.586
67.105 0.000 109.677 9.586
43.081 95.315 102.611 103.431
116.558 0.000 113.674 9.586
58.743 0.000 109.126 9.586
38.998 0.000 106.591 0.000
55.764 0.000 106.688 9.586
84.523 0.000 110.666 0.000
76.770 0.000 112.855 0.000
59.952 0.495 109.999 151.000
238.366 0.000 116.442 0.000
139.257 0.950 115.151 32.000
135.906 1.747 115.612 11.087
33.259 0.000 96.968 0.000
138.938 139.021 115.188 115.903
339.932 0.000 117.000 9.586
165.217 1.226 115.481 31.053
71.219 0.000 112.178 9.586
52.926 0.000 110.416 9.586
51.162 0.501 107.591 21.025
45.304 0.000 106.186 0.000
134.562 0.000 115.169 0.000
65.931 0.000 110.474 0.000
52.264 219.925 109.478 108.297
126.091 208.753 114.952 115.637
59.118 157.395 109.222 108.347
77.925 0.505 110.809 189.000
277.646 0.000 116.306 9.586
106.116 0.733 112.576 18.025
142.142 668.930 115.389 124.702
111.561 0.255 113.112 143.000
220.912 0.962 117.117 75.000
77.591 5.189 110.187 0.000
71.157 0.000 111.339 9.586
77.576 205.729 111.169 112.332
341.687 0.487 117.000 17.015
90.072 0.000 111.999 9.586
82.919 0.000 109.865 9.586
137.435 0.000 115.772 9.586
121.036 3.473 114.001 365.043
146.451 1.670 114.413 23.030
0.755 1.940 432.000 15.367
51.885 0.000 105.949 0.000
30.537 0.252 84.369 125.000
40.514 0.000 97.679 9.586
140.488 0.751 115.852 286.000
147.987 0.000 115.154 9.586
82.923 0.252 111.887 433.000
327.558 0.252 116.635 109.000
130.438 132.119 113.526 114.607
28.943 0.000 74.378 9.586
338.538 2.357 117.400 69.000
60.123 2.184 107.380 13.045
66.708 0.000 109.585 9.586
47.454 2.413 104.581 223.000
132.174 1.813 113.534 9.084
74.517 1.604 110.533 122.000
139.418 0.000 114.512 0.000
45.573 0.252 106.115 218.000
99.020 0.992 111.647 11.030
137.022 137.869 114.432 115.374
136.196 4.154 114.662 467.583
102.788 0.000 113.393 9.586
29.287 0.000 89.581 9.586
296.347 0.000 118.496 9.586
42.654 2.143 102.254 14.067
45.124 0.000 104.178 0.000
137.386 4.829 115.552 119.000
33.585 0.000 95.743 0.000
141.876 205.075 114.760 114.807
93.655 2.823 113.880 105.000
138.799 0.000 115.152 0.000
32.804 0.000 94.808 9.586
212.074 0.505 116.482 76.000
140.610 214.574 114.971 116.330
103.437 0.500 113.354 58.025
322.388 0.989 116.753 472.000
131.299 0.252 114.487 394.000
100.999 0.747 112.548 24.025
345.486 2.472 117.259 15.446
141.123 1.647 114.203 9.174
136.364 0.000 114.324 0.000
83.730 211.465 110.763 112.999
65.974 0.000 109.038 0.000
58.668 0.000 107.629 0.000
86.999 0.000 111.441 0.000
335.710 0.000 117.496 0.000
60.054 0.252 109.084 259.000
157.466 0.000 115.502 0.000
37.528 0.000 95.387 0.000
215.337 0.000 116.210 0.000
66.814 0.000 112.742 0.000
130.635 0.000 115.445 0.000
138.089 0.000 114.903 9.586
174.468 0.000 115.503 9.586
77.387 27.449 111.026 111.997
46.567 0.000 105.035 9.586
0.761 0.000 108.000 9.586
135.912 226.696 115.075 115.143
108.540 0.252 113.485 374.000
134.046 77.394 116.158 114.148
3.886 0.000 19.749 0.000
122.595 0.000 115.000 0.000
139.078 0.252 116.103 78.000
65.240 0.000 109.881 0.000
48.361 0.000 106.233 0.000
24.844 1.746 56.461 18.026
141.789 210.057 115.600 115.352
138.058 0.252 115.104 44.000
319.515 3.019 116.683 444.430
136.285 209.272 114.949 115.684
324.341 0.752 116.830 481.000
43.421 0.983 100.712 15.030
103.834 0.000 113.786 9.586
136.620 1.994 114.432 112.000
